url,document_type,scheme,description
https://files.hdfcfund.com/s3fs-public/KIM/2024-11/KIM%20-%20HDFC%20Top%20100%20Fund%20dated%20November%2021%2C%202024.pdf,KIM,hdfc_large_cap,Key Information Memorandum for HDFC Top 100 Fund (Large Cap)
https://files.hdfcfund.com/s3fs-public/SID/2025-11/SID%20-%20HDFC%20Large%20Cap%20Fund%20dated%20November%2021%2C%202025_0.pdf?_gl=1*1ld6g7t*_gcl_au*MjA5NTAyMDc1NC4xNzcwNjU2ODY1,SID,hdfc_large_cap,Scheme Information Document for HDFC Large Cap Fund
https://files.hdfcfund.com/s3fs-public/KIM/2025-05/KIM%20-%20HDFC%20Flexi%20Cap%20Fund%20dated%20May%2030%2C%202025.pdf,KIM,hdfc_flexi_cap,Key Information Memorandum for HDFC Flexi Cap Fund
https://files.hdfcfund.com/s3fs-public/SID/2025-11/SID%20-%20HDFC%20Flexi%20Cap%20Fund%20dated%20November%2021%2C%202025_0.pdf?_gl=1*10e3e9q*_gcl_au*MjA5NTAyMDc1NC4xNzcwNjU2ODY1,SID,hdfc_flexi_cap,Scheme Information Document for HDFC Flexi Cap Fund
https://files.hdfcfund.com/s3fs-public/KIM/2024-11/KIM%20-%20HDFC%20ELSS%20Tax%20Saver%20dated%20November%2021%2C%202024.pdf,KIM,hdfc_elss,Key Information Memorandum for HDFC ELSS Tax Saver
https://files.hdfcfund.com/s3fs-public/Others/2021-03/HDFC%20TaxSaver%20-%20Presentation%20-%20February%2C%202021.pdf,Presentation,hdfc_elss,HDFC TaxSaver Presentation
https://files.hdfcfund.com/s3fs-public/2026-02/HDFC%20Large%20Cap%20Fund%20Notice%20for%20Expense%20change%2009-02-2026%20DP%20WEF%2016-02-2026.pdf?_gl=1*4241zw*_gcl_au*MjA5NTAyMDc1NC4xNzcwNjU2ODY1,Notice,hdfc_large_cap,Expense Change Notice for HDFC Large Cap Fund
https://files.hdfcfund.com/s3fs-public/2026-02/HDFC%20Flexi%20Cap%20Fund%20Notice%20for%20Expense%20change%2009-02-2026%20DP%20WEF%2016-02-2026.pdf?_gl=1*6xf0a8*_gcl_au*MjA5NTAyMDc1NC4xNzcwNjU2ODY1,Notice,hdfc_flexi_cap,Expense Change Notice for HDFC Flexi Cap Fund
https://files.hdfcfund.com/s3fs-public/2025-06/HDFC%20ELSS%20Tax%20saver%20Notice%20for%20Expense%20change%2011-06-2025%20DP%20WEF%2018-06-2025.pdf?_gl=1*6xf0a8*_gcl_au*MjA5NTAyMDc1NC4xNzcwNjU2ODY1,Notice,hdfc_elss,Expense Change Notice for HDFC ELSS Tax Saver
https://files.hdfcfund.com/s3fs-public/2025-04/Annual%20Disclosure%20of%20Riskometers-%20HDFC%20MF%20-%20as%20at%20March%2031%2C%202025.pdf?_gl=1*6xf0a8*_gcl_au*MjA5NTAyMDc1NC4xNzcwNjU2ODY1,Disclosure,general,Annual Riskometer Disclosure for HDFC Mutual Funds
https://files.hdfcfund.com/s3fs-public/2026-01/HDFC%20MF%20Factsheet%20-%20December%202025_0.pdf?_gl=1*15gptjm*_gcl_au*MjA5NTAyMDc1NC4xNzcwNjU2ODY1,Factsheet,general,HDFC Mutual Fund Factsheet - December 2025
https://files.hdfcfund.com/s3fs-public/2025-02/Other%20Funds%20-%20RSF%20(Hybrid%20Equity).pdf,Report,general,Risk-o-meter and Stress Testing Framework Report
https://files.hdfcfund.com/s3fs-public/2023-01/Investor%20Charter%20-%20MF_0.pdf,Charter,general,Investor Charter for Mutual Funds
https://www.hdfc.bank.in/blogs/mutual-funds/impact-of-taxation-on-mutual-funds,Blog,general,Impact of Taxation on Mutual Funds
https://www.hdfcfund.com/investor-services/faqs-kyc-process-change,FAQ,general,FAQs on KYC Process Change
https://www.hdfcfund.com/investor-services/request-statement,FAQ,general,Request Statement - Track Your HDFC Investments
https://www.hdfcfund.com/explore/mutual-funds/hdfc-large-cap-fund/direct,Web,hdfc_large_cap,HDFC Large Cap Fund Live Details
https://www.hdfcfund.com/explore/mutual-funds/hdfc-flexi-cap-fund/direct,Web,hdfc_flexi_cap,HDFC Flexi Cap Fund Live Details
https://www.hdfcfund.com/explore/mutual-funds/hdfc-elss-tax-saver/direct,Web,hdfc_elss,HDFC ELSS Tax Saver Live Details
